Startup,Industry,Sub Vertical,City,Investors,Investment Type,Investment Amount($),Date
SkillSolutions,AgriTech,Marketplace,Noida,"Peak XV, Zodius Capital",Pre-Series A,168000.0,2025-06-30
QuantumSolutions,EdTech,UpSkilling,Pune,"Info Edge, Matrix Partners India, Tiger Global Management",Series B,45929000.0,2025-06-29
Paytm,HealthTech,Pharmacy,Mumbai,Mirae Asset,Seed,96000.0,2025-06-27
Housejoy,HealthTech,Health Analytics,Noida,Zodius Capital,Seed,141000.0,2025-06-27
Nykaa,Retail,Grocery,Delhi,IFC,Bridge,59000.0,2025-06-24
EduBox,SaaS,HRTech,Mumbai,Omidyar Network,Series B,11014000.0,2025-06-24
EduBox,Logistics,Fleet Management,Ahmedabad,Kalaari Capital,Seed,68000.0,2025-06-19
BigBasket,HealthTech,Pharmacy,Gurugram,Bessemer Venture Partners,Series A,2828000.0,2025-06-11
EduMart,AgriTech,Marketplace,Ahmedabad,"Info Edge, Mirae Asset, SoftBank Vision Fund",Seed,313000.0,2025-06-11
Housejoy,Mobility,Micro Mobility,Pune,Ribbit Capital,Series A,2970000.0,2025-06-09
FreshTech,HealthTech,Health Analytics,Ahmedabad,Blume Ventures,Series A,2933000.0,2025-06-09
HyperLabs,E-commerce,Marketplace,Gurugram,"IFC, Prosus Ventures, Ventures India",Series A,3403000.0,2025-06-08
ClearDekho,SaaS,HRTech,Kolkata,"Bessemer Venture Partners, Prosus Ventures",Angel,33000.0,2025-06-08
Zepto,Logistics,Last Mile,Mumbai,Y Combinator,Pre-Series A,268000.0,2025-06-07
LogiMart,Retail,Grocery,Delhi,"LCatterton, Lightspeed India",Series D,60502000.0,2025-06-06
Freshworks,Real Estate,PropTech,Bengaluru,"Matrix Partners India, Prosus Ventures",Seed,1654000.0,2025-05-27
Razorpay,Mobility,EV,Noida,Blume Ventures,Series C,151723000.0,2025-05-25
Udaan,FoodTech,Food Delivery,Hyderabad,"Blume Ventures, Elevation Capital",Series B,18027000.0,2025-05-22
SmartCare,HealthTech,Diagnostics,Noida,"Info Edge, Sequoia Capital India",Bridge,84000.0,2025-05-22
HyperLoop,FoodTech,Grocery,Delhi,Blume Ventures,Seed,226000.0,2025-05-22
Groww,Enterprise,Security,Mumbai,"Accel, Kedaara Capital",Bridge,307000.0,2025-05-21
Chargebee,E-commerce,Grocery,Ahmedabad,Omidyar Network,Seed,99000.0,2025-05-18
Licious,SaaS,HRTech,Chennai,"Accel, Falcon Edge, Peak XV",Seed,173000.0,2025-05-17
QuantumSolutions,E-commerce,Grocery,Kolkata,Tiger Global Management,Series B,45193000.0,2025-05-15
Groww,Retail,Fashion,Pune,Falcon Edge,Series A,2760000.0,2025-05-13
SkillRise,FinTech,InsurTech,Noida,Mirae Asset,Seed,1385000.0,2025-05-13
HyperLoop,Consumer Electronics,Smart Home,Kolkata,Omidyar Network,Series A,1199000.0,2025-05-10
FinSense,HealthTech,Pharmacy,Pune,"Matrix Partners India, Ventures India",Angel,32000.0,2025-05-10
MobiKwik,Mobility,Micro Mobility,Delhi,Sequoia Capital India,Series C,89743000.0,2025-05-08
Porter,AgriTech,Smart Farming,Delhi,"A91 Partners, Sequoia Capital India",Series D,384546000.0,2025-05-07
Udaan,HealthTech,Diagnostics,Noida,"Mirae Asset, Tiger Global",Debt,1904000.0,2025-05-07
AutoFlow,HealthTech,Pharmacy,Gurugram,"Bessemer Venture Partners, Sequoia Capital India, Zodius Capital",Series A,6610000.0,2025-05-03
GreenMart,Mobility,Micro Mobility,Ahmedabad,"Blume Ventures, Tiger Global Management",Seed,753000.0,2025-04-28
FreshSolutions,Retail,Fashion,Pune,"Nexus Venture Partners, Sequoia Capital India",Pre-Series A,864000.0,2025-04-28
BlueSpace,AgriTech,Supply Chain,Bengaluru,"Bessemer Venture Partners, Lightspeed India, Matrix Partners India",Seed,1369000.0,2025-04-26
AeroHub,Mobility,Micro Mobility,Gurugram,A91 Partners,Series A,2012000.0,2025-04-24
FarmFit,AgriTech,Supply Chain,Bengaluru,Ventures India,Seed,174000.0,2025-04-20
BlueRise,SaaS,DevTools,Chennai,"Lightspeed India, Peak XV",Growth,165015000.0,2025-04-18
AeroAnalytics,Enterprise,Analytics,Hyderabad,"Elevation Capital, Tiger Global Management",Angel,76000.0,2025-04-17
ClearDekho,SaaS,B2B SaaS,Bengaluru,Info Edge,Series C,122112000.0,2025-04-11
AeroAnalytics,Media,Content,Mumbai,Y Combinator,Series B,14870000.0,2025-04-10
HealthWorks,EdTech,Coding Bootcamp,Pune,"Omidyar Network, Tiger Global Management, Ventures India",Debt,5087000.0,2025-04-07
NextStack,FoodTech,Food Delivery,Mumbai,"Kedaara Capital, Sequoia Capital India, Y Combinator",Series A,5720000.0,2025-04-06
AgriSense,Mobility,Micro Mobility,Mumbai,Blume Ventures,Pre-Seed,146000.0,2025-04-04
Unacademy,E-commerce,Quick Commerce,Pune,Ventures India,Series B,28354000.0,2025-04-03
FinSpace,Logistics,Supply Chain,Chennai,Matrix Partners India,Series A,2185000.0,2025-03-30
AeroHub,FoodTech,Cloud Kitchen,Delhi,"Blume Ventures, Kedaara Capital",Series C,142830000.0,2025-03-27
FoodLoop,FoodTech,Food Delivery,Hyderabad,"Bessemer Venture Partners, Elevation Capital, Peak XV",Series A,5476000.0,2025-03-27
SmartMart,AgriTech,Smart Farming,Delhi,"Elevation Capital, Matrix Partners India",Pre-Seed,148000.0,2025-03-26
Bounce,FoodTech,Grocery,Pune,Mirae Asset,Seed,231000.0,2025-03-22
Unacademy,E-commerce,Fashion,Bengaluru,LCatterton,Seed,160000.0,2025-03-17
GrowthFlow,Real Estate,PropTech,Chennai,Zodius Capital,Pre-Series A,394000.0,2025-03-17
Flipkart,EdTech,K12,Gurugram,"IFC, Mirae Asset",Seed,63000.0,2025-03-13
FreshTech,Media,Social,Bengaluru,"Nexus Venture Partners, Omidyar Network",Seed,186000.0,2025-03-08
AgriHive,EdTech,Test Prep,Ahmedabad,Peak XV,Pre-Series A,170000.0,2025-03-05
DriveEdge,SaaS,MarTech,Delhi,"Blume Ventures, Info Edge, Ribbit Capital",Series A,1496000.0,2025-03-05
Delhivery,SaaS,B2B SaaS,Ahmedabad,Nexus Venture Partners,Series C,40689000.0,2025-03-03
Lenskart,Retail,Fashion,Kolkata,Accel,Series D,252342000.0,2025-02-26
AeroStack,FinTech,InsurTech,Gurugram,"Y Combinator, Zodius Capital",Seed,269000.0,2025-02-23
FarmBox,EdTech,UpSkilling,Delhi,A91 Partners,Series C,20855000.0,2025-02-16
QuantumDrive,Retail,Grocery,Noida,Accel,Series A,1290000.0,2025-02-15
Urban Company,Real Estate,PropTech,Hyderabad,"Peak XV, Ribbit Capital, Sequoia Capital India",Series B,21323000.0,2025-02-15
HyperSpace,FinTech,WealthTech,Pune,Tiger Global,Pre-Series A,753000.0,2025-02-10
SmartTech,Enterprise,Automation,Chennai,Accel,Series C,93643000.0,2025-02-06
NextSense,FinTech,InsurTech,Gurugram,IFC,Debt,39642000.0,2025-02-05
MediSpace,E-commerce,Quick Commerce,Kolkata,"Lightspeed India, Omidyar Network",Series B,56361000.0,2025-02-03
AgriHive,FoodTech,Food Delivery,Ahmedabad,"A91 Partners, Info Edge, Matrix Partners India",Series C,261867000.0,2025-02-02
CloudPay,E-commerce,D2C,Pune,"Bessemer Venture Partners, Kedaara Capital, Nexus Venture Partners",Series B,19160000.0,2025-01-31
DataHive,Consumer Electronics,Wearables,Gurugram,"Lightspeed India, Sequoia Capital India",Seed,927000.0,2025-01-31
Ola,AgriTech,Marketplace,Noida,"Blume Ventures, Info Edge",Pre-Series A,483000.0,2025-01-31
FreshTech,SaaS,B2B SaaS,Kolkata,"A91 Partners, SoftBank Vision Fund",Series A,13810000.0,2025-01-29
FarmTech,EdTech,UpSkilling,Noida,Accel,Series A,4142000.0,2025-01-28
Groww,Media,Streaming,Bengaluru,IFC,Seed,1668000.0,2025-01-28
CloudPay,Consumer Electronics,Smart Home,Bengaluru,"Blume Ventures, SoftBank Vision Fund",Series C,125810000.0,2025-01-27
HomeAnalytics,Consumer Electronics,Wearables,Bengaluru,"Kedaara Capital, Lightspeed India",Seed,129000.0,2025-01-26
FinSpace,Consumer Electronics,Wearables,Gurugram,Blume Ventures,Growth,491721000.0,2025-01-22
FreshSolutions,Media,Streaming,Delhi,Prosus Ventures,Bridge,70000.0,2025-01-16
NimbusWorks,Mobility,EV,Kolkata,"Falcon Edge, Lightspeed India, Peak XV",Pre-Seed,21000.0,2025-01-13
Byju's,EdTech,Coding Bootcamp,Mumbai,Elevation Capital,Seed,152000.0,2025-01-12
ClearTax,Mobility,EV,Gurugram,"Accel, Prosus Ventures",Seed,192000.0,2025-01-11
InMobi,Consumer Electronics,Audio,Gurugram,"Matrix Partners India, Y Combinator",Seed,191000.0,2025-01-08
FoodFit,Retail,Fashion,Bengaluru,Info Edge,Seed,210000.0,2025-01-06
SkillFlow,SaaS,DevTools,Gurugram,"Falcon Edge, Info Edge, Tiger Global",Series B,25685000.0,2025-01-02
WorkPay,EdTech,UpSkilling,Chennai,"IFC, Nexus Venture Partners",Debt,3529000.0,2025-01-02
FreshTech,Retail,Fashion,Delhi,"Matrix Partners India, Omidyar Network",Pre-Seed,135000.0,2024-12-28
CoreConnect,AgriTech,Marketplace,Chennai,Prosus Ventures,Pre-Seed,196000.0,2024-12-26
FreshBox,FinTech,InsurTech,Chennai,Sequoia Capital India,Series B,9461000.0,2024-12-23
WorkPay,FinTech,NeoBank,Hyderabad,"IFC, Kedaara Capital",Pre-Series A,126000.0,2024-12-19
Bounce,Real Estate,Rental Tech,Chennai,"Info Edge, Y Combinator",Seed,77000.0,2024-12-18
UrbanDrive,Real Estate,Rental Tech,Pune,"Blume Ventures, Info Edge, Sequoia Capital India",Series A,1187000.0,2024-12-17
Razorpay,AgriTech,Smart Farming,Delhi,"Blume Ventures, LCatterton",Series B,27390000.0,2024-12-11
UrbanDrive,Retail,Fashion,Noida,"Mirae Asset, Nexus Venture Partners",Series A,1806000.0,2024-12-11
Ola,Media,Content,Chennai,Accel,Series C,141411000.0,2024-12-09
NeoLabs,AgriTech,Supply Chain,Mumbai,"Y Combinator, Zodius Capital",Seed,734000.0,2024-12-09
HomeFoods,Media,Social,Mumbai,Nexus Venture Partners,Seed,89000.0,2024-12-09
HomeAnalytics,Logistics,Last Mile,Noida,"Info Edge, LCatterton, Ribbit Capital",Bridge,1461000.0,2024-12-06
ClearDekho,Logistics,Last Mile,Pune,Y Combinator,Private Equity,151993000.0,2024-12-05
Bounce,FoodTech,Grocery,Hyderabad,Info Edge,Series B,10595000.0,2024-12-01
Delhivery,FoodTech,Food Delivery,Delhi,Mirae Asset,Seed,458000.0,2024-11-29
AeroHub,AgriTech,Supply Chain,Noida,"Blume Ventures, Info Edge",Angel,12000.0,2024-11-29
Zomato,Retail,E-Retail,Delhi,Omidyar Network,Series A,2831000.0,2024-11-28
FinFoods,FoodTech,Grocery,Ahmedabad,Blume Ventures,Series A,3188000.0,2024-11-24
FinFoods,Real Estate,Home Services,Bengaluru,Tiger Global Management,Series B,6189000.0,2024-11-23
AgriHive,Mobility,EV,Pune,Zodius Capital,Seed,919000.0,2024-11-20
Cars24,Media,Content,Noida,Blume Ventures,Series A,1055000.0,2024-11-17
AeroStack,AgriTech,Smart Farming,Noida,Ventures India,Seed,191000.0,2024-11-17
BlueTech,E-commerce,Fashion,Bengaluru,Elevation Capital,Seed,634000.0,2024-11-17
Meesho,Enterprise,Security,Kolkata,Zodius Capital,Series C,50332000.0,2024-11-11
Unacademy,HealthTech,Diagnostics,Hyderabad,"Tiger Global, Tiger Global Management",Series A,8462000.0,2024-11-11
Wakefit,HealthTech,Health Analytics,Bengaluru,"IFC, Matrix Partners India, Nexus Venture Partners",Debt,744000.0,2024-11-10
AutoMart,FinTech,InsurTech,Hyderabad,Kedaara Capital,Series B,12899000.0,2024-11-08
UrbanSolutions,Retail,Fashion,Mumbai,"Info Edge, Ribbit Capital, Y Combinator",Series C,109404000.0,2024-11-06
HomeFoods,Real Estate,PropTech,Chennai,Tiger Global Management,Seed,905000.0,2024-11-05
HomeFoods,Enterprise,Automation,Pune,"LCatterton, Sequoia Capital India, Tiger Global",Seed,165000.0,2024-10-30
Ola,FinTech,Payments,Pune,"Kedaara Capital, Mirae Asset",Series C,31977000.0,2024-10-27
Licious,Logistics,Supply Chain,Delhi,"Sequoia Capital India, Tiger Global",Seed,568000.0,2024-10-26
PharmEasy,SaaS,DevTools,Ahmedabad,Tiger Global Management,Pre-Seed,149000.0,2024-10-24
WorkFit,FoodTech,Grocery,Pune,LCatterton,Series A,1461000.0,2024-10-23
FreshToHome,SaaS,DevTools,Noida,Elevation Capital,Series D,489935000.0,2024-10-22
DriveLoop,EdTech,Test Prep,Ahmedabad,"Elevation Capital, Nexus Venture Partners",Series A,7379000.0,2024-10-15
Bounce,Logistics,Last Mile,Chennai,"Bessemer Venture Partners, Lightspeed India",Pre-Seed,114000.0,2024-10-14
SkillFlow,Media,Streaming,Hyderabad,Blume Ventures,Pre-Series A,253000.0,2024-10-13
AgriFit,Retail,Fashion,Hyderabad,"Accel, IFC, Omidyar Network",Angel,10000.0,2024-10-13
FreshSolutions,Real Estate,PropTech,Mumbai,Accel,Series A,7370000.0,2024-10-09
NextSense,Media,Streaming,Chennai,"IFC, Sequoia Capital India",Seed,1549000.0,2024-10-09
QuantumSolutions,AgriTech,Marketplace,Bengaluru,Sequoia Capital India,Seed,1272000.0,2024-10-07
Byju's,Retail,Fashion,Ahmedabad,Y Combinator,Pre-Seed,24000.0,2024-10-03
NimbusLabs,SaaS,MarTech,Kolkata,"Accel, IFC, Nexus Venture Partners",Series A,1260000.0,2024-09-28
NimbusMart,EdTech,Coding Bootcamp,Pune,Blume Ventures,Angel,16000.0,2024-09-27
Chargebee,SaaS,MarTech,Bengaluru,Tiger Global,Seed,493000.0,2024-09-23
NoBroker,Consumer Electronics,Audio,Gurugram,Zodius Capital,Series A,1599000.0,2024-09-23
WorkPay,FinTech,WealthTech,Chennai,A91 Partners,Series A,1383000.0,2024-09-21
FreshTech,Mobility,EV,Mumbai,Info Edge,Seed,169000.0,2024-09-19
HomeMart,Consumer Electronics,Audio,Kolkata,Blume Ventures,Series C,131237000.0,2024-09-19
HealthAnalytics,E-commerce,Quick Commerce,Chennai,"Nexus Venture Partners, Y Combinator",Series A,1065000.0,2024-09-16
NextSense,Mobility,Micro Mobility,Mumbai,Kedaara Capital,Seed,954000.0,2024-09-15
NeoLabs,Mobility,Micro Mobility,Bengaluru,Peak XV,Series A,1582000.0,2024-09-14
FinFoods,E-commerce,Fashion,Bengaluru,"Bessemer Venture Partners, Info Edge, Omidyar Network",Angel,15000.0,2024-09-11
FoodFit,Real Estate,Rental Tech,Noida,Ventures India,Seed,450000.0,2024-09-09
Bounce,HealthTech,Pharmacy,Ahmedabad,Nexus Venture Partners,Pre-Seed,47000.0,2024-09-07
BigBasket,Enterprise,Analytics,Kolkata,"Tiger Global, Zodius Capital",Series A,6332000.0,2024-09-06
AgriHive,FinTech,Payments,Mumbai,"Nexus Venture Partners, Prosus Ventures",Angel,14000.0,2024-09-06
CloudPay,EdTech,UpSkilling,Gurugram,Zodius Capital,Seed,62000.0,2024-09-05
SkillRise,EdTech,UpSkilling,Gurugram,Mirae Asset,Pre-Series A,710000.0,2024-09-02
InMobi,HealthTech,Pharmacy,Chennai,"Mirae Asset, Ribbit Capital, Y Combinator",Bridge,55000.0,2024-09-02
HyperLabs,SaaS,DevTools,Kolkata,Accel,Seed,75000.0,2024-08-30
BharatPe,E-commerce,Marketplace,Delhi,Bessemer Venture Partners,Series A,9897000.0,2024-08-30
UrbanSolutions,Media,Social,Mumbai,"Elevation Capital, Kedaara Capital, Matrix Partners India",Series A,8159000.0,2024-08-28
Delhivery,Enterprise,Security,Chennai,Ribbit Capital,Seed,1104000.0,2024-08-27
CloudLabs,E-commerce,Marketplace,Mumbai,"Blume Ventures, Kalaari Capital",Series C,239814000.0,2024-08-27
Cred,Logistics,Last Mile,Chennai,Kedaara Capital,Series B,59720000.0,2024-08-27
FoodSolutions,Retail,Fashion,Gurugram,Info Edge,Seed,887000.0,2024-08-26
QuantumDrive,E-commerce,Fashion,Pune,"Info Edge, Kedaara Capital",Series B,59765000.0,2024-08-24
FreshTech,Real Estate,Home Services,Delhi,"Accel, LCatterton, Tiger Global Management",Series B,9715000.0,2024-08-24
EduMart,SaaS,B2B SaaS,Ahmedabad,"LCatterton, Lightspeed India",Seed,938000.0,2024-08-24
AutoMart,FoodTech,Cloud Kitchen,Kolkata,SoftBank Vision Fund,Seed,67000.0,2024-08-23
Porter,HealthTech,Diagnostics,Bengaluru,Mirae Asset,Seed,1494000.0,2024-08-21
Porter,Mobility,Ride Sharing,Delhi,Tiger Global,Angel,9000.0,2024-08-19
LogiMart,Real Estate,Rental Tech,Chennai,"LCatterton, Omidyar Network",Seed,67000.0,2024-08-19
Udaan,HealthTech,Health Analytics,Bengaluru,Mirae Asset,Series C,21480000.0,2024-08-13
NextStack,Media,Content,Mumbai,A91 Partners,Series A,5738000.0,2024-08-11
BharatPe,Consumer Electronics,Wearables,Noida,"Matrix Partners India, Ventures India, Y Combinator",Series A,1040000.0,2024-08-11
Udaan,HealthTech,Pharmacy,Noida,LCatterton,Seed,350000.0,2024-08-09
HealthWorks,Mobility,Ride Sharing,Bengaluru,Accel,Series B,8387000.0,2024-08-07
NeoLabs,FoodTech,Food Delivery,Chennai,Zodius Capital,Growth,124717000.0,2024-08-06
MediHive,Mobility,EV,Ahmedabad,Tiger Global,Series A,1981000.0,2024-08-06
QuantumAnalytics,Real Estate,Rental Tech,Bengaluru,LCatterton,Seed,73000.0,2024-07-31
LogiMart,FinTech,InsurTech,Hyderabad,Info Edge,Seed,525000.0,2024-07-30
CoreFlow,Consumer Electronics,Wearables,Pune,Zodius Capital,Series C,180699000.0,2024-07-30
HomeAnalytics,FinTech,NeoBank,Kolkata,Zodius Capital,Seed,118000.0,2024-07-29
HomeAnalytics,Retail,Grocery,Pune,"Ribbit Capital, Zodius Capital",Seed,517000.0,2024-07-29
Swiggy,HealthTech,Pharmacy,Bengaluru,SoftBank Vision Fund,Pre-Seed,142000.0,2024-07-27
AgriHive,Retail,E-Retail,Ahmedabad,Accel,Seed,879000.0,2024-07-27
FarmFit,FinTech,WealthTech,Hyderabad,"Mirae Asset, Sequoia Capital India",Series A,1046000.0,2024-07-27
Ola,Logistics,Last Mile,Ahmedabad,"Mirae Asset, Tiger Global Management",Series A,8074000.0,2024-07-25
Porter,SaaS,HRTech,Kolkata,"Elevation Capital, Kedaara Capital, Omidyar Network",Series A,1411000.0,2024-07-24
AutoFlow,Logistics,Supply Chain,Kolkata,IFC,Seed,85000.0,2024-07-23
HealthRise,Retail,Grocery,Ahmedabad,"Info Edge, Mirae Asset, Prosus Ventures",Seed,142000.0,2024-07-22
NeoLabs,Real Estate,Rental Tech,Bengaluru,"Accel, Peak XV",Seed,370000.0,2024-07-19
NextFlow,SaaS,B2B SaaS,Hyderabad,"Tiger Global Management, Zodius Capital",Series A,10287000.0,2024-07-11
AutoStack,E-commerce,Marketplace,Ahmedabad,SoftBank Vision Fund,Seed,61000.0,2024-07-10
NextSense,Mobility,Micro Mobility,Hyderabad,"A91 Partners, Falcon Edge, Prosus Ventures",Series A,1643000.0,2024-07-10
Dream11,AgriTech,Supply Chain,Gurugram,A91 Partners,Series C,281010000.0,2024-07-07
Porter,Consumer Electronics,Smart Home,Ahmedabad,Info Edge,Seed,826000.0,2024-07-05
AeroStack,Mobility,EV,Pune,"IFC, Peak XV",Bridge,1790000.0,2024-07-02
QuantumDrive,Retail,Fashion,Gurugram,"Bessemer Venture Partners, Tiger Global Management",Series B,5381000.0,2024-06-30
Housejoy,HealthTech,Diagnostics,Bengaluru,Nexus Venture Partners,Series A,3130000.0,2024-06-27
SkillFlow,Mobility,EV,Chennai,"Bessemer Venture Partners, Blume Ventures, Nexus Venture Partners",Seed,1149000.0,2024-06-26
HyperLabs,FinTech,Lending,Ahmedabad,Tiger Global,Series B,12397000.0,2024-06-25
FinFoods,Enterprise,Analytics,Pune,Info Edge,Seed,331000.0,2024-06-25
QuantumSolutions,Retail,Fashion,Delhi,"A91 Partners, Mirae Asset",Seed,1998000.0,2024-06-24
SkillFlow,FinTech,InsurTech,Pune,"Kedaara Capital, Zodius Capital",Series B,10246000.0,2024-06-22
Flipkart,EdTech,Test Prep,Kolkata,"IFC, Ribbit Capital",Pre-Series A,448000.0,2024-06-16
CoreSpace,HealthTech,Diagnostics,Chennai,"Blume Ventures, Zodius Capital",Series A,9059000.0,2024-06-15
GreenMart,Retail,Grocery,Ahmedabad,Bessemer Venture Partners,Series A,2643000.0,2024-06-15
NeoSense,EdTech,Coding Bootcamp,Chennai,Y Combinator,Series B,34466000.0,2024-06-14
SmartTech,E-commerce,Quick Commerce,Gurugram,"Accel, Info Edge",Pre-Series A,123000.0,2024-06-13
GrowthFlow,AgriTech,Supply Chain,Kolkata,"Mirae Asset, Ribbit Capital",Pre-Series A,977000.0,2024-06-11
ClearDekho,FoodTech,Food Delivery,Ahmedabad,"Info Edge, LCatterton, Zodius Capital",Series A,1105000.0,2024-06-09
ClearTax,Retail,E-Retail,Delhi,"Kalaari Capital, Nexus Venture Partners, Ribbit Capital",Series B,38638000.0,2024-06-08
OYO Rooms,Consumer Electronics,Smart Home,Kolkata,Blume Ventures,Seed,125000.0,2024-06-08
Nykaa,EdTech,Test Prep,Gurugram,Kalaari Capital,Series A,3510000.0,2024-06-08
LogiRise,Media,Social,Bengaluru,A91 Partners,Series B,6483000.0,2024-06-07
NeoLabs,Enterprise,Automation,Noida,"Nexus Venture Partners, Tiger Global Management, Ventures India",Series B,15923000.0,2024-06-06
AutoStack,E-commerce,Quick Commerce,Delhi,Omidyar Network,Pre-Seed,127000.0,2024-06-05
NeoSense,Retail,Grocery,Ahmedabad,Sequoia Capital India,Seed,182000.0,2024-06-04
NimbusLabs,SaaS,MarTech,Mumbai,"Prosus Ventures, Ribbit Capital",Series C,25829000.0,2024-06-03
SmartTech,FinTech,InsurTech,Chennai,"A91 Partners, Sequoia Capital India, SoftBank Vision Fund",Pre-Series A,131000.0,2024-06-02
HealthAnalytics,Consumer Electronics,Audio,Gurugram,"Bessemer Venture Partners, Lightspeed India, Omidyar Network",Angel,51000.0,2024-06-01
EduBox,FinTech,Payments,Pune,"Bessemer Venture Partners, Nexus Venture Partners, Tiger Global",Seed,164000.0,2024-06-01
EduMart,HealthTech,Telemedicine,Gurugram,Bessemer Venture Partners,Series A,1130000.0,2024-05-28
GrowthFlow,FinTech,Payments,Gurugram,Tiger Global Management,Seed,52000.0,2024-05-27
BlueRise,FinTech,WealthTech,Ahmedabad,Y Combinator,Seed,182000.0,2024-05-27
Groww,E-commerce,D2C,Delhi,"Blume Ventures, Kalaari Capital, Y Combinator",Pre-Series A,645000.0,2024-05-24
Swiggy,FinTech,WealthTech,Hyderabad,"Peak XV, Zodius Capital",Series C,120661000.0,2024-05-22
AutoStack,Logistics,Fleet Management,Bengaluru,LCatterton,Series C,141405000.0,2024-05-21
Postman,Consumer Electronics,Wearables,Mumbai,"IFC, Omidyar Network",Bridge,117000.0,2024-05-19
SkillSolutions,Media,Streaming,Pune,Elevation Capital,Seed,476000.0,2024-05-17
BlueRise,Real Estate,Rental Tech,Noida,Y Combinator,Seed,1688000.0,2024-05-17
FarmTech,HealthTech,Diagnostics,Kolkata,Nexus Venture Partners,Series C,67366000.0,2024-05-15
Zepto,Media,Streaming,Bengaluru,IFC,Angel,69000.0,2024-05-08
MediHive,Enterprise,Security,Bengaluru,"Elevation Capital, Kalaari Capital",Seed,1628000.0,2024-05-03
Innovaccer,Enterprise,Security,Bengaluru,Ribbit Capital,Pre-Seed,54000.0,2024-04-28
Rapido,Media,Streaming,Chennai,"Omidyar Network, Sequoia Capital India",Series D,78480000.0,2024-04-27
